id,type_of_attribute,trait
34,   WEAKNESSEs    ,procrastinator
10,wEaKNeSSes       ,procrastinator
27,sTrEnGthS ,knowledgeable
16,sTrEnGthS ,good leader
18,weaknesses          ,cutthroat
41, weaKnesses ,controlling
28,weaknesses          ,procrastinator
23,   StreNgtHs   ,team player
38,   WeAkNeSsEs ,unavailable
55,  sTRENgths  ,early starter
33,  sTRENgths  ,knowledgeable
40,    weaKnEsses     ,unprepared
22, strengths,honest
44,   stREngtHs     ,early starter
40,   StreNgtHs   ,prepared
42,sTrengtHS       ,early starter
52,weaknesses          ,unavailable
33,WEAKNESSES,controlling
11,strengths    ,good teacher
43, strengths,prepared
8,   WeAkNeSsEs ,unprepared
27,sTrEnGthS ,quick learner
49, strengths,knowledgeable
15,       STRENGTHS  ,quick learner
4,wEaKNeSSes       ,controlling
6,   WeAkNeSsEs ,unresponsive
34,    weaKnEsses     ,late
30,    weaKnEsses     ,dishonest
31,  sTRENgths  ,good teacher
7,   wEAknESses    ,unavailable
26,   StreNgtHs   ,knowledgeable
36,    weaKnEsses     ,dishonest
37,   wEAknESses    ,cutthroat
29,   WeAkNeSsEs ,procrastinator
14,   stREngtHs     ,knowledgeable
16,   WeAkNeSsEs ,controlling
2,sTRENgths    ,team player
17,wEaKNeSSes       ,unresponsive
4, weaKnesses ,cutthroat
24,   stREngtHs     ,early starter
9, weaKnesses ,unfriendly
7,   StreNgtHs   ,early starter
16,strengths    ,quick learner
18,strengths      ,early starter
31,    weaKnEsses     ,controlling
11, weaKnesses ,dishonest
26,  sTRENgths  ,quick learner
23,strengths      ,honest
59,   StreNgtHs   ,team player
10,   stREngtHs     ,good teacher
3,WEAKNESSES,procrastinator
1,   stREngtHs     ,prepared
25,strengths      ,friendly
55,   wEAknESses    ,dishonest
17,strengths      ,good leader
30, weaKnesses ,controlling
47,sTrEnGthS ,prepared
37,    weaKnEsses     ,unavailable
21, weaKnesses ,dishonest
26,    WeaKNeSSeS     ,dishonest
58,wEaKNeSSes       ,late
31,weaknesses          ,late
41, weaKnesses ,unprepared
15,       STRENGTHS  ,honest
47,WEAKNESSES,unprepared
30,       STRENGTHS  ,prepared
2,   wEAknESses    ,cutthroat
38, weaKnesses ,unprepared
44,   WEAKNESSEs    ,unprepared
2,sTRENgths    ,early starter
20,  sTRENgths  ,good leader
56,   WEAKNESSEs    ,dishonest
60,strengths      ,knowledgeable
52,   stREngtHs     ,early starter
58, weaKnesses ,unresponsive
42,   wEAknESses    ,unresponsive
53,   WEAKNESSEs    ,procrastinator
12,       STRENGTHS  ,early starter
20,sTrengtHS       ,knowledgeable
10,   StreNgtHs   ,friendly
51,   WeAkNeSsEs ,late
22,   wEAknESses    ,unresponsive
3,WEAKNESSES,controlling
11,    weaKnEsses     ,unresponsive
56,sTRENgths    ,early starter
13,strengths      ,early starter
4,sTrengtHS       ,good teacher
54,weaknesses          ,unresponsive
40,    WeaKNeSSeS     ,dishonest
18,   wEAknESses    ,unfriendly
15,WEAKNESSES,controlling
48,   WeAkNeSsEs ,procrastinator
51,       STRENGTHS  ,friendly
48,    WeaKNeSSeS     ,unfriendly
54,   WeAkNeSsEs ,unprepared
32, strengths,good teacher
60,    WeaKNeSSeS     ,unprepared
50,strengths    ,knowledgeable
42,   WeAkNeSsEs ,cutthroat
32, weaKnesses ,unfriendly
27,    WeaKNeSSeS     ,cutthroat
13,    WeaKNeSSeS     ,late
47,   WeAkNeSsEs ,dishonest
11,WEAKNESSES,unfriendly
13,wEaKNeSSes       ,cutthroat
57, strengths,early starter
56, strengths,knowledgeable
55,    WeaKNeSSeS     ,cutthroat
49,    weaKnEsses     ,unprepared
53, strengths,team player
51,   WEAKnessES   ,unprepared
57,    weaKnEsses     ,procrastinator
6,   stREngtHs     ,team player
59,   wEAknESses    ,controlling
50,   wEAknESses    ,controlling
52,sTRENgths    ,honest
32,   WEAKnessES   ,procrastinator
12,strengths      ,friendly
53,   WEAKNESSEs    ,unfriendly
60, weaKnesses ,dishonest
47,   wEAknESses    ,unavailable
43, weaKnesses ,controlling
13,WEAKNESSES,procrastinator
5,strengths    ,quick learner
29,sTRENgths    ,good leader
15, weaKnesses ,dishonest
