id,type_of_attribute,trait
272,   StreNgtHs   ,good leader
491,sTrEnGthS ,knowledgeable
306,wEaKNeSSes       ,unavailable
353,   wEAknESses    ,unresponsive
266,sTrEnGthS ,team player
169,   wEAknESses    ,procrastinator
193,WEAKNESSES,unavailable
127, strengths,team player
254,weaknesses          ,dishonest
375, weaKnesses ,procrastinator
167,WEAKNESSES,unfriendly
6,sTrEnGthS ,knowledgeable
243, strengths,quick learner
243,    WeaKNeSSeS     ,dishonest
72,sTrengtHS       ,good teacher
343,wEaKNeSSes       ,dishonest
345,    WeaKNeSSeS     ,controlling
413,   StreNgtHs   ,friendly
295, strengths,team player
482,strengths    ,prepared
27,sTRENgths    ,friendly
243,       STRENGTHS  ,knowledgeable
305, strengths,quick learner
132,wEaKNeSSes       ,procrastinator
312,sTrEnGthS ,friendly
250,   WEAKNESSEs    ,unfriendly
357, strengths,early starter
114,   stREngtHs     ,prepared
28,strengths      ,quick learner
225,   wEAknESses    ,unavailable
292,sTrEnGthS ,knowledgeable
248,   stREngtHs     ,good teacher
486,   StreNgtHs   ,quick learner
68,sTrEnGthS ,team player
39,  sTRENgths  ,quick learner
170,       STRENGTHS  ,prepared
91,sTRENgths    ,early starter
127,strengths      ,prepared
395,sTrengtHS       ,good teacher
246,WEAKNESSES,dishonest
246,sTrEnGthS ,knowledgeable
144,strengths      ,honest
271,sTrEnGthS ,knowledgeable
93,sTrEnGthS ,prepared
105,strengths    ,knowledgeable
391,strengths    ,prepared
395,strengths    ,quick learner
157,wEaKNeSSes       ,unavailable
307,sTRENgths    ,knowledgeable
342,       STRENGTHS  ,team player
332,   WEAKnessES   ,late
199, strengths,good teacher
425,WEAKNESSES,unavailable
146,strengths      ,honest
5, strengths,friendly
416,strengths    ,knowledgeable
475,strengths    ,knowledgeable
478,sTrEnGthS ,prepared
407,strengths      ,good teacher
324,       STRENGTHS  ,quick learner
116,       STRENGTHS  ,early starter
102,weaknesses          ,controlling
209,wEaKNeSSes       ,controlling
40,strengths      ,prepared
429,WEAKNESSES,cutthroat
38,sTrengtHS       ,honest
317,strengths      ,prepared
234,sTrengtHS       ,honest
298,    WeaKNeSSeS     ,late
256,   wEAknESses    ,controlling
466,  sTRENgths  ,good teacher
363,   WEAKNESSEs    ,unprepared
354,sTrengtHS       ,good teacher
340,   StreNgtHs   ,team player
243,    weaKnEsses     ,unresponsive
495,   WEAKnessES   ,controlling
426,sTrEnGthS ,knowledgeable
155,       STRENGTHS  ,knowledgeable
48, strengths,knowledgeable
240,    WeaKNeSSeS     ,dishonest
130,   StreNgtHs   ,team player
229, strengths,prepared
317,       STRENGTHS  ,team player
280,strengths      ,prepared
93,   stREngtHs     ,early starter
315,sTrengtHS       ,quick learner
15,   WeAkNeSsEs ,controlling
369,sTrengtHS       ,knowledgeable
209,   stREngtHs     ,team player
105,sTrEnGthS ,early starter
332, strengths,quick learner
108,sTRENgths    ,friendly
106,  sTRENgths  ,friendly
43,sTRENgths    ,quick learner
397,   WEAKnessES   ,procrastinator
455,strengths    ,team player
4,strengths    ,team player
227,strengths      ,friendly
442,sTRENgths    ,friendly
269,   WEAKNESSEs    ,dishonest
259,strengths      ,quick learner
472,   stREngtHs     ,friendly
63,strengths      ,friendly
307,sTRENgths    ,quick learner
242,   wEAknESses    ,procrastinator
481,strengths      ,friendly
419,sTRENgths    ,friendly
234,   WeAkNeSsEs ,procrastinator
237,strengths    ,quick learner
108,sTrengtHS       ,quick learner
52,sTRENgths    ,prepared
390, weaKnesses ,cutthroat
269,strengths      ,honest
84,    WeaKNeSSeS     ,procrastinator
415,sTrEnGthS ,honest
149,    weaKnEsses     ,unprepared
113,   stREngtHs     ,knowledgeable
26,strengths    ,honest
223,strengths    ,early starter
451,sTrEnGthS ,good teacher
120,   stREngtHs     ,good leader
420, strengths,team player
217, strengths,knowledgeable
499,strengths      ,honest
466,   stREngtHs     ,team player
164,   WEAKNESSEs    ,controlling
82,   WeAkNeSsEs ,late
219,strengths      ,prepared
212,   WeAkNeSsEs ,unresponsive
368,sTrengtHS       ,team player
97,sTRENgths    ,good leader
281,sTRENgths    ,good leader
442,       STRENGTHS  ,early starter
77,   StreNgtHs   ,prepared
89,   WeAkNeSsEs ,unavailable
200,   WEAKNESSEs    ,cutthroat
151, strengths,knowledgeable
34,   wEAknESses    ,procrastinator
83,   stREngtHs     ,early starter
303,       STRENGTHS  ,prepared
2,strengths    ,prepared
38,   StreNgtHs   ,good leader
167,    WeaKNeSSeS     ,dishonest
17,strengths      ,good leader
143,sTrengtHS       ,quick learner
198,   StreNgtHs   ,good teacher
44,       STRENGTHS  ,honest
353,sTrengtHS       ,knowledgeable
253,strengths      ,early starter
334,   stREngtHs     ,knowledgeable
481,   wEAknESses    ,unfriendly
157, strengths,team player
33,strengths    ,early starter
391,WEAKNESSES,late
483,  sTRENgths  ,early starter
224,sTRENgths    ,team player
402,wEaKNeSSes       ,controlling
497,strengths    ,good teacher
61, strengths,team player
481,sTRENgths    ,early starter
289,weaknesses          ,late
282,sTrEnGthS ,friendly
161,   wEAknESses    ,dishonest
489,   stREngtHs     ,early starter
42,sTrengtHS       ,good leader
497,sTrEnGthS ,early starter
87,WEAKNESSES,unavailable
282,  sTRENgths  ,good teacher
174,wEaKNeSSes       ,unfriendly
443, strengths,good leader
228,weaknesses          ,controlling
300,sTrengtHS       ,early starter
184, weaKnesses ,unprepared
392,  sTRENgths  ,good teacher
33,       STRENGTHS  ,honest
357,sTRENgths    ,knowledgeable
237,strengths    ,early starter
80,   StreNgtHs   ,honest
156,    weaKnEsses     ,controlling
450,   StreNgtHs   ,knowledgeable
381,strengths      ,honest
53,sTrengtHS       ,early starter
223,weaknesses          ,procrastinator
463,       STRENGTHS  ,friendly
227,   WeAkNeSsEs ,procrastinator
278,sTrengtHS       ,team player
496,   stREngtHs     ,early starter
153,  sTRENgths  ,honest
126,strengths      ,team player
133,strengths      ,honest
55,strengths    ,knowledgeable
487,sTRENgths    ,early starter
162,strengths    ,team player
35, strengths,team player
69,   WEAKNESSEs    ,controlling
167,sTrEnGthS ,quick learner
408, strengths,friendly
309,strengths      ,good teacher
471,weaknesses          ,cutthroat
59,sTrEnGthS ,prepared
143,sTrengtHS       ,good leader
346,sTRENgths    ,good teacher
137,   stREngtHs     ,honest
117,weaknesses          ,unfriendly
112,    weaKnEsses     ,dishonest
197,   WeAkNeSsEs ,unavailable
306,sTrengtHS       ,friendly
328,sTRENgths    ,honest
155,strengths    ,honest
390,   wEAknESses    ,unfriendly
169,strengths      ,early starter
48,sTrengtHS       ,good teacher
121,   WEAKNESSEs    ,cutthroat
446,strengths    ,quick learner
264,    weaKnEsses     ,unfriendly
111,  sTRENgths  ,early starter
364,    weaKnEsses     ,unfriendly
82,sTrengtHS       ,team player
319,   WEAKnessES   ,unavailable
435,       STRENGTHS  ,prepared
229,strengths      ,honest
156,   stREngtHs     ,team player
182,   stREngtHs     ,friendly
367,sTRENgths    ,good leader
322, strengths,team player
356,sTrEnGthS ,team player
64,    WeaKNeSSeS     ,late
325,   WEAKNESSEs    ,unavailable
49,   stREngtHs     ,friendly
148,strengths    ,quick learner
144,   wEAknESses    ,unprepared
16,sTrEnGthS ,honest
278,strengths    ,prepared
244,   StreNgtHs   ,friendly
230,   stREngtHs     ,team player
130,    WeaKNeSSeS     ,unresponsive
238,   stREngtHs     ,prepared
90, strengths,good leader
162,sTrEnGthS ,knowledgeable
303,sTRENgths    ,good leader
339,   stREngtHs     ,knowledgeable
499,   WEAKNESSEs    ,cutthroat
102,   stREngtHs     ,team player
275,       STRENGTHS  ,early starter
433,       STRENGTHS  ,good leader
219,   StreNgtHs   ,good leader
161,  sTRENgths  ,honest
361,sTrEnGthS ,early starter
210,   wEAknESses    ,controlling
394,strengths    ,team player
435,WEAKNESSES,procrastinator
181,   stREngtHs     ,quick learner
20,   StreNgtHs   ,prepared
135,   wEAknESses    ,unresponsive
442,   stREngtHs     ,knowledgeable
41,WEAKNESSES,late
277,strengths      ,knowledgeable
206,sTrengtHS       ,prepared
300,   wEAknESses    ,procrastinator
131, weaKnesses ,unavailable
87,   stREngtHs     ,good leader
258,strengths    ,good leader
164,   stREngtHs     ,friendly
499,strengths    ,quick learner
43,sTrEnGthS ,good leader
268,strengths      ,honest
163,   StreNgtHs   ,team player
11,strengths    ,team player
324,   StreNgtHs   ,team player
261,weaknesses          ,unprepared
287,WEAKNESSES,unfriendly
374,sTRENgths    ,good leader
134,   wEAknESses    ,late
355,   WEAKnessES   ,controlling
208,sTRENgths    ,knowledgeable
199,   WEAKNESSEs    ,controlling
312,   WeAkNeSsEs ,late
428,  sTRENgths  ,good leader
215,   WEAKnessES   ,unfriendly
4,sTrengtHS       ,good teacher
422,  sTRENgths  ,prepared
407,   WeAkNeSsEs ,controlling
8, strengths,knowledgeable
7,sTrEnGthS ,prepared
52,WEAKNESSES,late
323,sTRENgths    ,honest
138, strengths,good teacher
239,sTRENgths    ,prepared
1, weaKnesses ,unprepared
99,sTrengtHS       ,quick learner
476,  sTRENgths  ,quick learner
38,wEaKNeSSes       ,unavailable
309,       STRENGTHS  ,team player
271,  sTRENgths  ,team player
191,sTrEnGthS ,good teacher
295,sTRENgths    ,honest
41,sTRENgths    ,early starter
34, strengths,quick learner
182,   wEAknESses    ,dishonest
89,strengths    ,good teacher
60, weaKnesses ,unprepared
437,   StreNgtHs   ,knowledgeable
269,   stREngtHs     ,friendly
200,sTRENgths    ,good teacher
245,sTrengtHS       ,early starter
186,       STRENGTHS  ,friendly
494, strengths,team player
335,sTRENgths    ,prepared
326,   StreNgtHs   ,good leader
338,sTrengtHS       ,friendly
235,       STRENGTHS  ,quick learner
124,   wEAknESses    ,unfriendly
443,sTrEnGthS ,friendly
188,strengths    ,honest
120, strengths,honest
480,strengths      ,quick learner
302,   stREngtHs     ,prepared
233,   stREngtHs     ,team player
70, strengths,early starter
92,sTrEnGthS ,quick learner
292,strengths      ,friendly
401, strengths,early starter
203,  sTRENgths  ,team player
305,  sTRENgths  ,good leader
195, weaKnesses ,unprepared
186,WEAKNESSES,unavailable
472,strengths      ,quick learner
89,   StreNgtHs   ,early starter
368,    weaKnEsses     ,unresponsive
44,  sTRENgths  ,knowledgeable
330, weaKnesses ,procrastinator
292, strengths,early starter
57,  sTRENgths  ,honest
432,  sTRENgths  ,good teacher
46,strengths      ,good teacher
335,weaknesses          ,late
68,   stREngtHs     ,good teacher
81,strengths    ,team player
180,       STRENGTHS  ,team player
397,strengths    ,friendly
495,   StreNgtHs   ,good teacher
225, strengths,team player
18,  sTRENgths  ,quick learner
430,sTrengtHS       ,prepared
124,    weaKnEsses     ,dishonest
179,       STRENGTHS  ,early starter
410,  sTRENgths  ,prepared
377,strengths      ,honest
43,sTRENgths    ,prepared
42,   wEAknESses    ,unprepared
329,   wEAknESses    ,unprepared
145,wEaKNeSSes       ,controlling
490, weaKnesses ,unprepared
299,   StreNgtHs   ,prepared
109,   stREngtHs     ,friendly
389, strengths,quick learner
142,   wEAknESses    ,dishonest
453, weaKnesses ,dishonest
351,   stREngtHs     ,prepared
364,       STRENGTHS  ,prepared
170,sTRENgths    ,honest
423,sTrengtHS       ,team player
429,wEaKNeSSes       ,unfriendly
369, weaKnesses ,unavailable
344, strengths,friendly
111,sTrEnGthS ,honest
398,  sTRENgths  ,team player
20,sTrEnGthS ,friendly
279,sTRENgths    ,good leader
433,weaknesses          ,unresponsive
330,    WeaKNeSSeS     ,dishonest
229, weaKnesses ,unresponsive
354,   StreNgtHs   ,good leader
246,   WeAkNeSsEs ,late
174,sTrEnGthS ,prepared
301,       STRENGTHS  ,quick learner
213,   StreNgtHs   ,early starter
209,   stREngtHs     ,honest
407,       STRENGTHS  ,prepared
139,       STRENGTHS  ,quick learner
419,WEAKNESSES,unresponsive
249,  sTRENgths  ,friendly
269,  sTRENgths  ,good teacher
84,   StreNgtHs   ,early starter
372,sTrEnGthS ,honest
236,sTRENgths    ,good leader
340,   WeAkNeSsEs ,unfriendly
91, strengths,prepared
470,   stREngtHs     ,quick learner
344,strengths    ,good leader
462,   WEAKnessES   ,unfriendly
99,WEAKNESSES,unresponsive
25,sTrengtHS       ,good teacher
455,       STRENGTHS  ,friendly
66,  sTRENgths  ,early starter
355,sTrengtHS       ,quick learner
142,sTrengtHS       ,team player
247,sTrengtHS       ,friendly
201,strengths    ,prepared
308,    WeaKNeSSeS     ,unresponsive
221,   WeAkNeSsEs ,controlling
252,       STRENGTHS  ,good teacher
251,   WEAKnessES   ,late
187,   WEAKnessES   ,procrastinator
214,sTrengtHS       ,honest
178,       STRENGTHS  ,prepared
67, strengths,good leader
285,       STRENGTHS  ,team player
25, strengths,early starter
485,strengths      ,prepared
241,   StreNgtHs   ,early starter
231,sTrengtHS       ,early starter
277,sTrEnGthS ,honest
334,    WeaKNeSSeS     ,procrastinator
389,       STRENGTHS  ,good leader
177,sTrEnGthS ,friendly
469,    WeaKNeSSeS     ,dishonest
313,   stREngtHs     ,good leader
415,  sTRENgths  ,team player
158,sTrEnGthS ,honest
296,wEaKNeSSes       ,unavailable
118,   WEAKnessES   ,unprepared
316,   stREngtHs     ,prepared
257,sTrEnGthS ,team player
469,sTRENgths    ,honest
497,sTrEnGthS ,knowledgeable
341,strengths      ,friendly
485,strengths      ,honest
402,   stREngtHs     ,friendly
131,   StreNgtHs   ,honest
196,WEAKNESSES,unprepared
133, weaKnesses ,unfriendly
158,   WEAKNESSEs    ,dishonest
456,   WEAKNESSEs    ,dishonest
229,WEAKNESSES,cutthroat
97,sTrengtHS       ,prepared
62,       STRENGTHS  ,prepared
179,sTrEnGthS ,good leader
348,wEaKNeSSes       ,dishonest
264,       STRENGTHS  ,prepared
129,   WEAKnessES   ,procrastinator
420,   wEAknESses    ,procrastinator
105,sTrEnGthS ,good leader
281,strengths      ,good teacher
183,WEAKNESSES,procrastinator
247,       STRENGTHS  ,quick learner
37, strengths,good teacher
130,WEAKNESSES,procrastinator
406,   StreNgtHs   ,early starter
261,    weaKnEsses     ,unavailable
227,sTrEnGthS ,quick learner
18,    weaKnEsses     ,late
457,   WEAKnessES   ,unfriendly
373,sTRENgths    ,quick learner
381,   wEAknESses    ,cutthroat
451,   WEAKNESSEs    ,unresponsive
1,strengths      ,knowledgeable
372,   WeAkNeSsEs ,procrastinator
379,strengths      ,early starter
197,sTrEnGthS ,good leader
11,sTrengtHS       ,quick learner
321,   stREngtHs     ,team player
88,sTRENgths    ,good teacher
9,  sTRENgths  ,quick learner
312,   StreNgtHs   ,knowledgeable
262, strengths,early starter
382,    weaKnEsses     ,unavailable
421,   stREngtHs     ,good leader
152,       STRENGTHS  ,team player
290,sTrengtHS       ,good leader
492,strengths    ,prepared
349, strengths,knowledgeable
313,   wEAknESses    ,unprepared
218,    WeaKNeSSeS     ,unfriendly
385,sTrEnGthS ,friendly
311,strengths      ,friendly
164, strengths,good teacher
206,strengths      ,good teacher
410,   StreNgtHs   ,honest
418,sTRENgths    ,early starter
45,strengths      ,quick learner
486,  sTRENgths  ,prepared
425,       STRENGTHS  ,knowledgeable
289,sTRENgths    ,friendly
192,sTrengtHS       ,knowledgeable
222,    WeaKNeSSeS     ,unfriendly
476,sTrengtHS       ,team player
374,   WEAKNESSEs    ,unresponsive
428,    WeaKNeSSeS     ,unfriendly
326,   stREngtHs     ,honest
224,   WeAkNeSsEs ,procrastinator
352,   stREngtHs     ,quick learner
103,weaknesses          ,procrastinator
15,    WeaKNeSSeS     ,unfriendly
386,    WeaKNeSSeS     ,procrastinator
190,    WeaKNeSSeS     ,unfriendly
14, strengths,friendly
308,   WeAkNeSsEs ,cutthroat
95, weaKnesses ,dishonest
381,   stREngtHs     ,good teacher
343,wEaKNeSSes       ,unresponsive
461,sTRENgths    ,quick learner
48,    WeaKNeSSeS     ,controlling
258,  sTRENgths  ,friendly
198,   StreNgtHs   ,honest
218,   WEAKnessES   ,controlling
150,sTrengtHS       ,honest
